종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"451060","1Q 200액티브","22750","355","1.59","22773.54","22315","22760","22275","73785","1663094720","174037500000","174217572157","7650000","코스피 200","696.39","10.63","1.55"
"491610","1Q CD금리액티브(합성)","103085","30","0.03","103056.60","103075","103085","103075","4882","503238317","225034555000","214976067003","2183000","KIS 하나 CD금리 총수익지수","11663.27","0.86","0.01"
"0103T0","1Q K소버린AI","10370","-135","-1.29","10409.41","10505","10570","10325","251468","2629356441","31110000000","30187284923","3000000","iSelect K소버린AI 지수","2054.19","-25.13","-1.21"
"463290","1Q 단기금융채액티브","107370","25","0.02","107357.45","107375","107375","107365","9010","967362260","218068470000","216003191581","2031000","MK 머니마켓 지수(총수익)","14501.63","0.39","0.00"
"0131W0","1Q 단기특수은행채액티브","100440","20","0.02","100418.66","100445","100445","100440","105","10546555","110283120000","110259688214","1098000","KIS 단기특수은행채 지수(총수익)","115.25","0.00","0.00"
"479080","1Q 머니마켓액티브","52700","10","0.02","52693.34","52695","52700","52695","106302","5601934871","910761400000","910751708779","17282000","KIS-하나 MMF 지수(총수익)","118.62","0.01","0.01"
"0026S0","1Q 미국S&P500","12385","-90","-0.72","12369.25","12325","12400","12315","357761","4422213058","236553500000","236252608263","19100000","S&P 500","6944.47","17.87","0.26"
"0052S0","1Q 미국S&P500미국채혼합50액티브","11705","-55","-0.47","11676.06","11640","11705","11635","413945","4831317699","223565500000","224180378651","19100000","S&P 500 and Short-Term Treasury 50/50 Blend Index","277.33","0.36","0.13"
"0069M0","1Q 미국나스닥100","12465","-135","-1.07","12428.07","12385","12480","12375","423987","5263121264","92241000000","91967693987","7400000","NASDAQ 100","25547.08","81.14","0.32"
"0111P0","1Q 미국나스닥100미국채혼합50액티브","10640","-85","-0.79","10618.62","10585","10645","10580","517005","5487641784","169176000000","170959727425","15900000","Nasdaq-100 US T-Bills 0-6 Month 50/50 Index","2882.82","4.70","0.16"
"0083S0","1Q 미국메디컬AI","12385","145","1.18","12365.89","12320","12385","12295","153839","1896569208","55732500000","54409919612","4500000","KEDI 미국메디컬AI 지수","2153.77","-32.26","-1.48"
"0004G0","1Q 미국배당TOP30","9410","55","0.59","9436.89","9355","9445","9355","38012","357698284","9410000000","9436886850","1000000","Solactive U.S. Dividend TOP 30 Index PR","4211.47","25.22","0.60"
"0131V0","1Q 미국우주항공테크","14830","290","1.99","14855.80","14930","14935","14700","1696883","25142002525","235055500000","259976448306","15850000","Akros 미국우주항공테크 지수","5089.58","27.15","0.54"
"0094X0","1Q 샤오미밸류체인액티브","10205","-170","-1.64","10387.16","10375","10375","10050","72535","744486352","23471500000","23890465862","2300000","Solactive-KEDI Xiaomi Focus China Tech Index","1978.14","0.84","0.04"
"0017Y0","1Q 종합채권(AA-이상)액티브","97630","-495","-0.50","97727.88","98260","98320","97630","76","7453655","70684120000","70754986811","724000","KIS 종합채권형 지수(AA-이상)(총수익)","123.97","-0.44","-0.35"
